mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7541613578796387,0.04623422382039696,0.05368046760559082,0.0038591172693044663,,16,sqrt,15,306,"{'model__class_weight': None, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 15, 'model__n_estimators': 306}",0.6943833997477515,0.6261905874025485,0.6605292149024713,0.6799402235926671,0.6685843407544617,0.66592555327998,0.022896799521139412,11,0.7391181379532158,0.750916472608036,0.7456659521755179,0.7424668210215156,0.748399047310916,0.7453132862138403,0.0041838790293001055
1.0849395751953126,0.10268800958986844,0.08013534545898438,0.011047753325636801,balanced,24,0.3,19,414,"{'model__class_weight': 'balanced', 'model__max_depth': 24, 'model__max_features': 0.3, 'model__min_samples_leaf': 19, 'model__n_estimators': 414}",0.6925126715448848,0.6315717166942914,0.6617191560045228,0.6813286680024425,0.6658254548090605,0.6665915334110404,0.02068720879678839,7,0.7495373578126957,0.7596420805294641,0.7546091612702157,0.7506430825899907,0.7562984295036195,0.7541460223411971,0.00370309020970556
0.8884923934936524,0.04432969147160886,0.10008983612060547,0.020036660289457713,,10,0.5,36,330,"{'model__class_weight': None, 'model__max_depth': 10, 'model__max_features': 0.5, 'model__min_samples_leaf': 36, 'model__n_estimators': 330}",0.6929112134123213,0.6339319180742683,0.6538194655144318,0.6752896529021499,0.6608319357084731,0.6633568371223288,0.01989480181176653,20,0.709864460631687,0.7225311099778714,0.7168019408399497,0.7124051368999089,0.7218481356976159,0.7166901568094066,0.005013691249612882
2.238081932067871,0.05862123345369968,0.11061367988586426,0.00937961358415586,balanced_subsample,24,log2,24,691,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 24, 'model__max_features': 'log2', 'model__min_samples_leaf': 24, 'model__n_estimators': 691}",0.6965622934223337,0.6321056825888032,0.6651924570392453,0.6784579095154217,0.664687852186179,0.6674012389503966,0.021121716530795753,2,0.712598293936959,0.7270140392570229,0.718624510018159,0.7174013216089773,0.7230209522270267,0.7197318234096289,0.004927345337049001
1.3778420448303224,0.028389967867642977,0.06727023124694824,0.002885179665620498,balanced_subsample,6,0.5,21,360,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 6, 'model__max_features': 0.5, 'model__min_samples_leaf': 21, 'model__n_estimators': 360}",0.6908536605845522,0.6307327872718956,0.6552325609260411,0.6740454655272933,0.6576851842441556,0.6617099317107875,0.0200960728961998,25,0.7038592637919254,0.7216656713439422,0.714983029382877,0.7073072246548308,0.7172997501077776,0.7130229878562705,0.006534098617443735
3.530422496795654,0.1738441504279451,0.14159255027770995,0.04984871042017827,balanced_subsample,24,0.5,25,760,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 24, 'model__max_features': 0.5, 'model__min_samples_leaf': 25, 'model__n_estimators': 760}",0.6941055302577628,0.632084854641122,0.6565859645777198,0.6769117177558042,0.6600319078184681,0.6639439950101753,0.020795816429245894,18,0.733318063277451,0.7446537026584596,0.7396328293472433,0.7364281480642627,0.7437530962235076,0.7395571679141849,0.004296589282636862
1.0953945159912108,0.10217178748114997,0.08449950218200683,0.014810372179591625,,10,0.3,28,389,"{'model__class_weight': None, 'model__max_depth': 10, 'model__max_features': 0.3, 'model__min_samples_leaf': 28, 'model__n_estimators': 389}",0.6917089164657937,0.6313634361538621,0.6569618628377032,0.6778554767142132,0.6618344023081301,0.6639448188959405,0.02039173141092526,16,0.7171267167306682,0.727812009875372,0.7231872282250895,0.7180912447604387,0.7262343297338477,0.7224903058650832,0.004264827688994936
3.718617057800293,0.17807394148041922,0.10464267730712891,0.005985924593909704,balanced_subsample,10,0.5,3,684,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 10, 'model__max_features': 0.5, 'model__min_samples_leaf': 3, 'model__n_estimators': 684}",0.6818722761049772,0.6292505902370381,0.6509281442182108,0.6734924898237041,0.6686040045752603,0.6608295009918381,0.018755570090002782,28,0.884194640075214,0.8955554273172137,0.8950226673044497,0.8814980541289912,0.8806331176396872,0.8873807812931112,0.006565244838652465
1.3365474224090577,0.1024741922568479,0.08550338745117188,0.015133632535128618,,24,sqrt,39,473,"{'model__class_weight': None, 'model__max_depth': 24, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 39, 'model__n_estimators': 473}",0.692949595437055,0.6322230949236817,0.6586788672002889,0.6756898624009551,0.6610206009069112,0.6641124041737784,0.020107867887413682,14,0.6933591895317367,0.708264231854877,0.6987694966838618,0.6971744726792113,0.7035028449872165,0.7002140471473807,0.005175644442503136
1.3600875854492187,0.057037705617336926,0.08908824920654297,0.0066424149196328665,balanced,16,log2,9,545,"{'model__class_weight': 'balanced', 'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__n_estimators': 545}",0.6928700693376584,0.6259912834811544,0.6637757288471614,0.6831129682916179,0.6691283548137908,0.6669756809542766,0.0229151736926669,4,0.7893143747416231,0.7958038957347224,0.7918682620489073,0.7891361396615654,0.793154781857912,0.7918554908089461,0.0024952099439828966
