mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5162997245788574,0.007098050720100711,0.024487400054931642,0.0033959466406834533,balanced,0.9609812947036389,0.01866188148138769,171,28,43,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.9609812947036389), 'model__learning_rate': np.float64(0.01866188148138769), 'model__max_iter': 171, 'model__max_leaf_nodes': 28, 'model__min_samples_leaf': 43}",0.6864321166426016,0.6356688077046276,0.6609780939569391,0.662054132069844,0.6554848881294799,0.6601236077006984,0.016224362397064478,9,0.7460088152456592,0.7634833357869091,0.7558814659277528,0.7606520231535956,0.7606784147569585,0.7573408109741752,0.006170545378468018
0.6457210063934327,0.007283879551332451,0.02592778205871582,0.0014365222771716367,,0.000602521573620386,0.012184186502221764,187,60,40,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.000602521573620386), 'model__learning_rate': np.float64(0.012184186502221764), 'model__max_iter': 187, 'model__max_leaf_nodes': 60, 'model__min_samples_leaf': 40}",0.7019695315961237,0.6260047121905263,0.6536665106095295,0.6673699729905631,0.6594207614748204,0.6616862977723127,0.024485376377635402,5,0.7986121416163218,0.8063301423994518,0.8059452657074165,0.8118209960749687,0.7997965037692557,0.8045010099134828,0.004813002093003124
0.8793748378753662,0.01703477338759525,0.03356690406799316,0.002221254011834868,,0.3470266988650412,0.010725209743171997,357,31,48,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.3470266988650412), 'model__learning_rate': np.float64(0.010725209743171997), 'model__max_iter': 357, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 48}",0.6972097334747124,0.6274650907106853,0.6688695121546007,0.6721611217492578,0.6592634431578476,0.6649937802494208,0.022563240130212422,3,0.7864007620128376,0.8003834868447733,0.7961275084058181,0.7943012063777951,0.7974734416217918,0.7949372810526032,0.004707157473973619
0.9953012466430664,0.008371348216989054,0.036228179931640625,0.00161360647376251,,0.0011526449540315614,0.01855998084649059,376,40,16,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.0011526449540315614), 'model__learning_rate': np.float64(0.01855998084649059), 'model__max_iter': 376, 'model__max_leaf_nodes': 40, 'model__min_samples_leaf': 16}",0.674336155817115,0.6159485152561094,0.6462169854626885,0.6597890500947798,0.6500599341772942,0.6492701281615973,0.019283302733552044,16,0.9222626384948394,0.9282426684186511,0.9219413750559554,0.9272822932250645,0.9184323124787737,0.9236322575346568,0.0036428839541142815
0.3948070526123047,0.007819327456363746,0.02730278968811035,0.0019720028385001903,,0.042051564509138675,0.04345454109729477,148,34,46,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.042051564509138675), 'model__learning_rate': np.float64(0.04345454109729477), 'model__max_iter': 148, 'model__max_leaf_nodes': 34, 'model__min_samples_leaf': 46}",0.6886915053276965,0.6172984145773247,0.6595442312304691,0.6654426735027725,0.6569608278867135,0.6575875305049953,0.023050357122703636,12,0.8485426242112614,0.8652958115956552,0.8546661004562512,0.8548375427568126,0.8557397254255219,0.8558163608891005,0.005386172814722789
0.9212472438812256,0.007628580234702652,0.04292755126953125,0.0012781999719705,,0.0028888383623653178,0.03476649150592621,289,54,55,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.0028888383623653178), 'model__learning_rate': np.float64(0.03476649150592621), 'model__max_iter': 289, 'model__max_leaf_nodes': 54, 'model__min_samples_leaf': 55}",0.6533368226501395,0.5970062679946035,0.635035973863175,0.6535706750581582,0.6522538388792581,0.6382407156890669,0.021770704021779663,21,0.9422826200093577,0.9467035640008212,0.9422528363040454,0.9463344188441036,0.9412100028238825,0.943756688396442,0.0022912366189277384
0.66864013671875,0.007469881885572523,0.041111326217651366,0.004012423727419046,,0.03725393839578886,0.07500118950416987,230,44,55,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.03725393839578886), 'model__learning_rate': np.float64(0.07500118950416987), 'model__max_iter': 230, 'model__max_leaf_nodes': 44, 'model__min_samples_leaf': 55}",0.6377086424985164,0.5956714377742343,0.6258094615497177,0.6394074114857065,0.6432819069898165,0.6283757720595983,0.0173617500747887,23,0.9737862760072211,0.9776404634540784,0.9765390759021149,0.9785987361262858,0.9707141733032998,0.9754557449586001,0.002866866674952902
1.3430359840393067,0.01616652124258824,0.04275655746459961,0.003734822437625681,balanced,0.0007122305833333872,0.012476394272569451,487,32,18,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.0007122305833333872), 'model__learning_rate': np.float64(0.012476394272569451), 'model__max_iter': 487, 'model__max_leaf_nodes': 32, 'model__min_samples_leaf': 18}",0.6924577320970481,0.625720045418363,0.66243334213937,0.6689746277919641,0.6526625437814161,0.6604496582456323,0.021761948708903252,7,0.8344155380087078,0.8583159666608873,0.8504462812290111,0.8493959493086252,0.8499931606607464,0.8485133791735956,0.007765882314395465
1.1160125732421875,0.02309388625318351,0.03700652122497559,0.004484187893932461,,0.008454394570685001,0.010558059144381517,485,27,32,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.008454394570685001), 'model__learning_rate': np.float64(0.010558059144381517), 'model__max_iter': 485, 'model__max_leaf_nodes': 27, 'model__min_samples_leaf': 32}",0.6928342882154599,0.6261887343840996,0.6640918412259667,0.6653933448262409,0.6579516231690006,0.6612919663641535,0.02127427300947965,6,0.8117704524105721,0.8280506644598327,0.8208063746502415,0.817797750449207,0.8232155395268574,0.8203281562993421,0.005437647590581505
1.2786781787872314,0.04766659436664172,0.0596827507019043,0.005363178554180614,balanced,0.26080600945523663,0.07962309016748462,363,54,39,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.26080600945523663), 'model__learning_rate': np.float64(0.07962309016748462), 'model__max_iter': 363, 'model__max_leaf_nodes': 54, 'model__min_samples_leaf': 39}",0.6256431415277617,0.5735216834177584,0.59942846570487,0.6147324631118921,0.6279421982380372,0.6082535904000638,0.020080845336537166,27,0.9980634065026678,0.9980269682037961,0.9967701592807405,0.9976646635540567,0.9966668852796283,0.9974384165641779,0.0006049828883606369
