mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.059805440902709964,0.008540424986645074,0.015064716339111328,0.007108316008422338,0.0745934328572655,balanced,lbfgs,"{'model__C': np.float64(0.0745934328572655), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.7067435006939267,0.633071257472499,0.6564046178269974,0.675368091588059,0.65420792949708,0.6651590794157125,0.024737358880394383,11,0.6629798159347956,0.6768847031464157,0.6715157262852748,0.6683648514485729,0.6766926580841703,0.6712875509798459,0.005256538657402284
0.06922516822814942,0.011505845313505651,0.01846284866333008,0.006429075998081447,4.5705630998014515,balanced,lbfgs,"{'model__C': np.float64(4.5705630998014515), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.7067776480689075,0.6320982296410322,0.6572857101236438,0.6692894316416741,0.6571455884095603,0.6645193215769636,0.024357111428611397,16,0.6630454327125962,0.6785080824963283,0.6726918407640478,0.6708616372469646,0.678444439298727,0.6727102865037328,0.005715281091460093
0.040818977355957034,0.005149893308747866,0.012272405624389648,0.002939841998760952,0.006026889128682512,balanced,lbfgs,"{'model__C': np.float64(0.006026889128682512), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.6986514416958681,0.6263934437874821,0.6582216856548532,0.6782325828677582,0.6453081719789244,0.6613614651969772,0.025161502017018004,23,0.6554506455377468,0.6691135905382147,0.6644759297024754,0.6598922304448118,0.6704942816355117,0.663885335571752,0.0056293961313770595
0.04258008003234863,0.00966899605593137,0.015442991256713867,0.006624472777694708,0.0019517224641449498,,lbfgs,"{'model__C': np.float64(0.0019517224641449498), 'model__class_weight': None, 'model__solver': 'lbfgs'}",0.689877251392881,0.6176611330331181,0.6517474354314009,0.6773453948213167,0.6387985004595158,0.6550859430276466,0.026011386558299678,27,0.6470881861303593,0.6608812050147597,0.6568550055692074,0.6510041050973191,0.661761100922833,0.6555179205468957,0.005673885266601432
0.04465165138244629,0.010554079845081126,0.011929798126220702,0.0037078738500606503,1.0129197956845732,,lbfgs,"{'model__C': np.float64(1.0129197956845732), 'model__class_weight': None, 'model__solver': 'lbfgs'}",0.7105192459133213,0.6334442922369943,0.6581644578583692,0.6717538192546287,0.6557374972183508,0.6659238624963328,0.025462244598837887,2,0.6650299356491813,0.680872480476276,0.6752347540756307,0.6736447190587982,0.6807710554088281,0.675110588933743,0.005814190175419968
0.0411041259765625,0.01002141600800546,0.012269878387451172,0.005335981871993015,0.001267425589893723,,liblinear,"{'model__C': np.float64(0.001267425589893723), 'model__class_weight': None, 'model__solver': 'liblinear'}",0.6603816020556696,0.6093110297780963,0.644905617176771,0.6721343404317472,0.6272140214876591,0.6427893221859886,0.022532124470350447,30,0.6380482299870806,0.6493693332023092,0.6430302449725872,0.6369892934701883,0.6485960824421644,0.6432066368148659,0.005144328610848745
0.050725793838500975,0.008739452423179507,0.013166427612304688,0.004733539158346864,14.528246637516036,,liblinear,"{'model__C': np.float64(14.528246637516036), 'model__class_weight': None, 'model__solver': 'liblinear'}",0.7107398347740482,0.6335880453399589,0.6592342411039454,0.6726604232039332,0.652691925442326,0.6657828939728423,0.025765067531392946,4,0.6651881510020691,0.6811895905313964,0.6752649068166722,0.6737685369014128,0.681352592965687,0.6753527556434473,0.005931329418554097
0.04019198417663574,0.002637266078036265,0.011518287658691406,0.002879225351274247,0.008111941985431923,balanced,lbfgs,"{'model__C': np.float64(0.008111941985431923), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.7007464600442873,0.6287128869952859,0.6575661971193121,0.6778467365909355,0.6460952069929778,0.6621934975485597,0.02503147203345891,22,0.6569620914390164,0.6709063596559016,0.6657133709899659,0.6612827036500164,0.6721198451708257,0.6653968741811451,0.005722322927286669
0.03655352592468262,0.0018950762968782523,0.010054254531860351,0.0022062518534365456,0.033205591037519584,,lbfgs,"{'model__C': np.float64(0.033205591037519584), 'model__class_weight': None, 'model__solver': 'lbfgs'}",0.7063775596813415,0.6336900655458914,0.6580291899709353,0.6776818894110637,0.652021908748066,0.6655601226714596,0.024773772896785135,9,0.6621460911406803,0.6765470914244792,0.6717738494646275,0.6684800690926098,0.6770924132504155,0.6712079028745623,0.005531947239809428
0.04439940452575684,0.003197021396555441,0.01468205451965332,0.005770650861034653,0.14445251022763064,balanced,lbfgs,"{'model__C': np.float64(0.14445251022763064), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.7069768820224105,0.6327374200217866,0.6567746938844843,0.6740248458163991,0.6553038233286509,0.6651635330147463,0.02468164630118971,10,0.6632593231105032,0.6775477306257636,0.6721792666373416,0.6695028559137068,0.6770908848843441,0.6719160122343318,0.005278758412341395
0.04418096542358398,0.007143013911186797,0.013210391998291016,0.005289120766385409,1.1462107403425035,,liblinear,"{'model__C': np.float64(1.1462107403425035), 'model__class_weight': None, 'model__solver': 'liblinear'}",0.7095344554010515,0.633645632640185,0.6577374979957704,0.6714005361495665,0.655853541534435,0.6656343327442017,0.025066992963162928,8,0.6648356893567834,0.6805090624619569,0.6750541464641641,0.6734620588560875,0.6804068049691757,0.6748535524216335,0.005747303374138611
0.04203863143920898,0.007371087561902783,0.01199793815612793,0.004953657120452175,0.028888383623653185,,lbfgs,"{'model__C': np.float64(0.028888383623653185), 'model__class_weight': None, 'model__solver': 'lbfgs'}",0.7060161670781198,0.632902642894786,0.658024501736614,0.6782860710499479,0.6495749570364913,0.6649608679591917,0.02520185647419503,14,0.661895718008369,0.6765668537305243,0.6713086910559866,0.667731584039913,0.6767816021333133,0.6708568897936212,0.005621034863234178
0.0387305736541748,0.007046857663462121,0.011917686462402344,0.004201134966525974,0.19069966103000435,balanced,liblinear,"{'model__C': np.float64(0.19069966103000435), 'model__class_weight': 'balanced', 'model__solver': 'liblinear'}",0.7071116790136593,0.632814647203904,0.6564233764637949,0.6731138895304203,0.6555389625714818,0.6650005109566521,0.024650336088867963,13,0.6628704692880062,0.6776817135795462,0.6721878295394043,0.6696523240817939,0.6772064131538781,0.6719197499285258,0.00544521073849401
0.042209434509277347,0.008109793785533647,0.014424896240234375,0.003344967069607393,0.009962513222055111,balanced,liblinear,"{'model__C': np.float64(0.009962513222055111), 'model__class_weight': 'balanced', 'model__solver': 'liblinear'}",0.7003620302813293,0.6295993449145165,0.6584640472485951,0.6785228562929798,0.6461026271690457,0.6626101811812932,0.024729821741246185,21,0.6578040931263055,0.6718319757229859,0.6662659353769878,0.6616320243732754,0.6725465497807002,0.666016115676051,0.005712981331533934
0.04099802970886231,0.009814083682768414,0.011461496353149414,0.0027281586624172817,0.9163741808778786,balanced,lbfgs,"{'model__C': np.float64(0.9163741808778786), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.7060813175375383,0.632679768548232,0.6558993559283102,0.6710659132232627,0.6566093911653028,0.6644671492805292,0.02416969881747945,18,0.662795321367985,0.67840986218968,0.6727864358369219,0.670428965962676,0.677717234933555,0.6724275640581636,0.005668717517175873
0.045836687088012695,0.008952162666290052,0.011963224411010743,0.005198931220766706,1.0907475835157696,balanced,lbfgs,"{'model__C': np.float64(1.0907475835157696), 'model__class_weight': 'balanced', 'model__solver': 'lbfgs'}",0.7071279998409692,0.6324335688365634,0.6561296802786962,0.6707078499986276,0.6565441363542865,0.6645886470618286,0.024565253944076073,15,0.6630580770886239,0.6785283697167093,0.6728235686986971,0.6704116670174867,0.6777972129571413,0.6725237790957317,0.005621647782290773
0.041527843475341795,0.005034311728664913,0.011477231979370117,0.0025406816235605703,0.0021147447960615704,,lbfgs,"{'model__C': np.float64(0.0021147447960615704), 'model__class_weight': None, 'model__solver': 'lbfgs'}",0.6900154626915475,0.6181095552932664,0.6525359463421794,0.6767564852662084,0.6391165311166787,0.6553067961419761,0.02576127991437872,26,0.6476578601857133,0.6613744462867261,0.6573934750915248,0.6516690101991163,0.6624427116223106,0.6561075006770782,0.005667909069956334
0.05418720245361328,0.0059122597837888615,0.013254213333129882,0.003799225950736371,67.32248920775338,,liblinear,"{'model__C': np.float64(67.32248920775338), 'model__class_weight': None, 'model__solver': 'liblinear'}",0.7113403455390962,0.6338178602151743,0.6598664726189142,0.6716093108920432,0.6522170511927314,0.6657702080915919,0.025885236092300815,6,0.6651643524229548,0.6813277564316644,0.675154799170658,0.6735668946805626,0.6815842779641106,0.6753596161339901,0.006026015530144014
0.036793184280395505,0.01295016231930772,0.014363861083984375,0.004378947044349938,0.03334792728637585,balanced,liblinear,"{'model__C': np.float64(0.03334792728637585), 'model__class_weight': 'balanced', 'model__solver': 'liblinear'}",0.7051147929135801,0.6335901697252434,0.6566431675355279,0.6767311771598349,0.6502150842795542,0.6644588783227482,0.024577879828397927,19,0.6618570045611514,0.6753357647359403,0.670522164978167,0.6669825970073983,0.6760223805721476,0.670143982370961,0.005297575865594418
0.0447791576385498,0.0061476281441413625,0.011432027816772461,0.0015736011052483278,2.6373339933815254,balanced,liblinear,"{'model__C': np.float64(2.6373339933815254), 'model__class_weight': 'balanced', 'model__solver': 'liblinear'}",0.7065994561453061,0.632163666944135,0.656614007572817,0.6707567825875712,0.6562114955627029,0.6644690817625063,0.024445995067741248,17,0.663402515435213,0.6781822057758116,0.6727956578718314,0.6706682843710422,0.6783548556917895,0.6726807038291376,0.005524678260498139
0.0415797233581543,0.004011441720772223,0.012502956390380859,0.00197365628643207,0.00407559644007287,balanced,liblinear,"{'model__C': np.float64(0.00407559644007287), 'model__class_weight': 'balanced', 'model__solver': 'liblinear'}",0.6920003229873789,0.6227222562203963,0.6567897567932366,0.6793036117218263,0.6418441108652166,0.658532011717611,0.024961759961334203,24,0.6525473718637373,0.6659829789054638,0.661208415712093,0.6558124135736625,0.6675832437302889,0.6606268847570491,0.005759765868709952
